ID,Sector,WorkFromHome,HoursWorkedPerDay,MeetingsPerDay,CommuteChange,StressLevel,ProductivityChange,HealthIssues,ChildcareResponsibilities,SalaryChange,JobSecurity,TechnologyAdaptation,CollaborationChallenges,ProductivityResilienceIndex,Age,YearsExperience,StressLevel_Numeric,ProductivityChange_Numeric,TechAdaptation_Numeric,CollaborationChallenges_Numeric,JobSecurity_Numeric,WorkFromHome_Numeric,HealthIssues_Numeric,ChildcareResponsibilities_Numeric
1,Healthcare,False,6.8,4,No Change,High,Decreased,False,True,No Change,Secure,Good,Severe,55.0,42,0,3,-1,3,3,2,0,0,1
2,Healthcare,True,8.1,5,Decreased,High,Decreased,False,False,No Change,Secure,Good,Moderate,60.9,28,8,3,-1,3,2,2,1,0,0
3,IT,True,6.1,4,Decreased,Medium,Decreased,True,False,No Change,Uncertain,Excellent,Minor,48.6,25,1,2,-1,4,1,1,1,1,0
4,Retail,True,10.5,6,Decreased,High,Increased,False,True,Decreased,Secure,Fair,Minor,50.4,45,25,3,1,2,1,2,1,0,1
5,IT,True,8.4,7,Decreased,Low,Increased,True,True,Increased,Uncertain,Good,Severe,51.5,60,25,1,1,3,3,1,1,1,1
6,IT,False,7.1,2,Decreased,Low,No Change,False,False,Increased,Secure,Excellent,Minor,100.0,47,22,1,0,4,1,2,0,0,0
7,Education,True,8.1,7,Decreased,Low,Increased,False,False,Decreased,Uncertain,Good,Minor,88.9,28,8,1,1,3,1,1,1,0,0
8,Education,True,6.4,3,Decreased,Low,No Change,False,False,No Change,Secure,Fair,Severe,85.4,48,28,1,0,2,3,2,1,0,0
9,IT,False,8.0,5,No Change,Medium,No Change,False,True,Decreased,Secure,Good,Minor,71.3,33,13,2,0,3,1,2,0,0,1
10,Retail,True,11.0,5,Decreased,High,Decreased,False,False,Decreased,Secure,Good,Severe,64.8,25,5,3,-1,3,3,2,1,0,0
11,Education,True,10.4,7,Decreased,High,No Change,True,False,No Change,Secure,Poor,Moderate,38.6,40,20,3,0,1,2,2,1,1,0
12,Education,False,8.3,2,Increased,Medium,No Change,True,True,Decreased,At Risk,Excellent,None,33.2,47,15,2,0,4,0,0,0,1,1
13,IT,True,11.0,8,Decreased,High,Increased,False,True,No Change,At Risk,Fair,Severe,17.8,32,12,3,1,2,3,0,1,0,1
14,Healthcare,False,8.0,3,Decreased,High,Increased,False,False,No Change,At Risk,Fair,None,19.9,41,21,3,1,2,0,0,0,0,0
15,Education,True,8.3,5,Decreased,Medium,Decreased,False,False,Increased,Uncertain,Fair,Moderate,58.4,54,4,2,-1,2,2,1,1,0,0
16,Healthcare,True,8.1,3,Decreased,Medium,Increased,False,False,No Change,At Risk,Fair,Moderate,36.4,54,19,2,1,2,2,0,1,0,0
17,Finance,True,7.4,4,Decreased,Medium,Increased,False,True,No Change,At Risk,Poor,Moderate,27.5,38,7,2,1,1,2,0,1,0,1
18,IT,True,6.9,4,No Change,High,Increased,False,False,No Change,Uncertain,Good,Moderate,55.9,33,13,3,1,3,2,1,1,0,0
19,Healthcare,True,10.0,5,Decreased,High,Decreased,False,True,Decreased,Uncertain,Fair,None,35.4,26,6,3,-1,2,0,1,1,0,1
20,Healthcare,False,9.2,4,Increased,High,No Change,False,True,No Change,Secure,Good,None,55.5,44,24,3,0,3,0,2,0,0,1
21,IT,True,10.7,4,Decreased,Medium,Decreased,False,False,No Change,Uncertain,Excellent,Moderate,61.0,47,15,2,-1,4,2,1,1,0,0
22,Education,True,8.3,7,No Change,Low,Decreased,True,True,No Change,At Risk,Fair,Moderate,33.0,31,11,1,-1,2,2,0,1,1,1
23,Finance,False,8.0,4,No Change,Medium,Increased,True,True,No Change,Secure,Good,Severe,66.5,56,27,2,1,3,3,2,0,1,1
24,IT,True,10.8,5,Decreased,High,Increased,False,True,No Change,Secure,Good,Minor,68.1,50,25,3,1,3,1,2,1,0,1
25,Retail,True,7.4,6,No Change,High,Decreased,True,False,Increased,Uncertain,Good,Moderate,36.5,56,15,3,-1,3,2,1,1,1,0
26,Healthcare,True,7.3,8,Decreased,High,Decreased,False,True,No Change,Secure,Good,Minor,61.0,40,16,3,-1,3,1,2,1,0,1
27,Healthcare,True,7.8,6,Decreased,High,Increased,False,False,Decreased,Secure,Good,Severe,75.8,60,12,3,1,3,3,2,1,0,0
28,Finance,True,9.6,7,Decreased,High,No Change,False,False,Increased,At Risk,Excellent,Moderate,29.5,30,10,3,0,4,2,0,1,0,0
29,Education,True,8.3,5,No Change,Medium,Increased,True,False,No Change,Secure,Good,Moderate,67.6,60,26,2,1,3,2,2,1,1,0
30,Retail,False,9.5,2,Increased,High,No Change,False,False,No Change,Uncertain,Fair,Minor,39.6,46,23,3,0,2,1,1,0,0,0
31,IT,True,8.0,7,Decreased,Low,Increased,False,True,No Change,At Risk,Good,Moderate,58.9,52,0,1,1,3,2,0,1,0,1
32,Finance,True,10.2,5,No Change,Medium,Increased,False,False,Decreased,Secure,Good,Minor,86.7,49,4,2,1,3,1,2,1,0,0
33,IT,True,8.1,3,Decreased,Medium,Increased,True,False,Increased,At Risk,Good,Moderate,28.4,51,17,2,1,3,2,0,1,1,0
34,Education,True,9.1,3,Decreased,Medium,Increased,False,False,Increased,Uncertain,Poor,None,37.7,42,15,2,1,1,0,1,1,0,0
35,Healthcare,False,6.0,2,Increased,High,No Change,False,True,Decreased,Secure,Fair,None,62.6,61,1,3,0,2,0,2,0,0,1
36,Healthcare,True,9.5,8,No Change,High,Decreased,False,False,Increased,Secure,Poor,None,55.1,42,13,3,-1,1,0,2,1,0,0
37,Retail,False,6.8,3,Decreased,Medium,No Change,False,False,No Change,Uncertain,Excellent,None,72.4,38,4,2,0,4,0,1,0,0,0
38,Finance,True,7.0,6,Decreased,Low,Decreased,False,True,No Change,Secure,Good,Moderate,96.7,32,12,1,-1,3,2,2,1,0,1
39,Healthcare,True,10.7,5,Decreased,High,Increased,True,False,No Change,Secure,Poor,Moderate,35.7,33,13,3,1,1,2,2,1,1,0
40,Retail,True,9.0,4,Decreased,High,No Change,False,False,Decreased,Secure,Excellent,Moderate,68.7,36,14,3,0,4,2,2,1,0,0
41,Retail,True,10.2,4,Decreased,Medium,Decreased,False,False,No Change,Secure,Good,Moderate,79.8,46,22,2,-1,3,2,2,1,0,0
42,Finance,True,10.5,8,No Change,Medium,Decreased,False,False,No Change,Uncertain,Poor,Moderate,46.7,29,7,2,-1,1,2,1,1,0,0
43,IT,True,9.0,6,Decreased,Medium,Increased,False,False,Decreased,Secure,Excellent,Minor,83.2,32,12,2,1,4,1,2,1,0,0
44,IT,True,9.2,6,Decreased,High,Increased,False,True,Increased,Secure,Good,Severe,69.4,32,7,3,1,3,3,2,1,0,1
45,Retail,True,7.6,8,Decreased,High,Decreased,False,False,No Change,Secure,Good,Severe,66.4,24,0,3,-1,3,3,2,1,0,0
46,Retail,True,9.6,4,Decreased,High,No Change,False,False,No Change,Uncertain,Good,Minor,58.6,35,15,3,0,3,1,1,1,0,0
47,Education,False,8.2,5,Increased,High,Decreased,False,False,No Change,At Risk,Fair,None,22.7,25,5,3,-1,2,0,0,0,0,0
48,Finance,True,7.1,8,Decreased,High,Increased,False,False,No Change,Secure,Good,None,64.6,60,18,3,1,3,0,2,1,0,0
49,Education,True,8.4,7,Decreased,Medium,Increased,False,False,No Change,At Risk,Poor,Minor,29.3,26,6,2,1,1,1,0,1,0,0
50,Retail,True,7.8,6,Decreased,High,No Change,False,False,No Change,At Risk,Poor,Moderate,11.3,47,10,3,0,1,2,0,1,0,0
51,Education,True,10.7,8,Decreased,Medium,No Change,False,False,Decreased,Secure,Fair,Moderate,76.9,57,15,2,0,2,2,2,1,0,0
52,Healthcare,True,10.0,3,Decreased,High,No Change,False,False,Increased,Secure,Poor,Severe,56.8,44,24,3,0,1,3,2,1,0,0
