country	continent	year	lifeExp	pop	gdpPercap
Algeria	Africa	1952	36.00	2000000	600.00
Algeria	Africa	1957	36.90	2052000	621.60
Algeria	Africa	1962	37.80	2105352	643.98
Algeria	Africa	1967	38.70	2160091	667.16
Algeria	Africa	1972	39.60	2216253	691.18
Algeria	Africa	1977	40.50	2273876	716.06
Algeria	Africa	1982	41.40	2332996	741.84
Algeria	Africa	1987	42.30	2393654	768.55
Algeria	Africa	1992	43.20	2455889	796.21
Algeria	Africa	1997	44.10	2519742	824.88
Algeria	Africa	2002	45.00	2585256	854.57
Algeria	Africa	2007	45.90	2652472	885.34
Angola	Africa	1952	36.60	2280000	672.00
Angola	Africa	1957	37.55	2348400	700.22
Angola	Africa	1962	38.50	2418852	729.63
Angola	Africa	1967	39.45	2491417	760.28
Angola	Africa	1972	40.40	2566160	792.21
Angola	Africa	1977	41.35	2643144	825.48
Angola	Africa	1982	42.30	2722439	860.15
Angola	Africa	1987	43.25	2804112	896.28
Angola	Africa	1992	44.20	2888235	933.92
Angola	Africa	1997	45.15	2974882	973.15
Angola	Africa	2002	46.10	3064129	1014.02
Angola	Africa	2007	47.05	3156053	1056.61
Benin	Africa	1952	37.20	2560000	744.00
Benin	Africa	1957	38.20	2647040	779.71
Benin	Africa	1962	39.20	2737039	817.14
Benin	Africa	1967	40.20	2830098	856.36
Benin	Africa	1972	41.20	2926322	897.47
Benin	Africa	1977	42.20	3025817	940.54
Benin	Africa	1982	43.20	3128694	985.69
Benin	Africa	1987	44.20	3235070	1033.00
Benin	Africa	1992	45.20	3345062	1082.59
Benin	Africa	1997	46.20	3458794	1134.55
Benin	Africa	2002	47.20	3576393	1189.01
Benin	Africa	2007	48.20	3697991	1246.08
Botswana	Africa	1952	37.80	2840000	816.00
Botswana	Africa	1957	38.85	2913840	860.06
Botswana	Africa	1962	39.90	2989599	906.51
Botswana	Africa	1967	40.95	3067329	955.46
Botswana	Africa	1972	42.00	3147080	1007.05
Botswana	Africa	1977	43.05	3228904	1061.43
Botswana	Africa	1982	44.10	3312855	1118.75
Botswana	Africa	1987	45.15	3398989	1179.16
Botswana	Africa	1992	46.20	3487363	1242.84
Botswana	Africa	1997	47.25	3578035	1309.95
